max_species,initial_seed,mutation_seed,generation,species_count,mean_score,dominant_frequency,max_memory_depth,mutation_unchanged,mutation_new,mutation_merged,mutation_blocked_at_cap
12,17,23,4,12,0.0,0.34621473472097724,2,1,0,0,11
12,17,23,5,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,6,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,7,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,8,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,9,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,10,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,11,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,12,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,13,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,14,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,15,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,16,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,17,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,18,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,19,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,20,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,21,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,22,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,23,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,24,12,0.0,0.34621473472097724,2,0,0,0,12
12,17,23,25,12,0.0,0.35748860649499953,3,18,0,0,0
12,29,31,1,6,1.5044166666666665,0.30939179134314893,2,0,3,0,0
12,29,31,2,6,1.376560379816011,0.3080477162240765,2,0,3,0,0
12,29,31,3,6,1.5514064367862834,0.3329110926369347,2,0,3,0,0
12,29,31,4,10,1.3492951559736068,0.28032600860959857,2,0,6,0,0
12,29,31,5,12,1.2976646275248747,0.2524696568299219,3,0,7,0,2
12,29,31,6,12,1.2466884281472663,0.2709380787671977,3,0,1,0,11
12,29,31,7,12,1.1905065801449563,0.28705647402786917,3,0,0,0,12
12,29,31,8,12,1.1449875324198688,0.3007394232783439,3,0,0,0,12
12,29,31,9,12,1.1064950422924273,0.3134039502614291,3,0,0,0,12
12,29,31,10,12,1.0738092476161366,0.3249772322228792,3,0,0,0,12
12,29,31,11,12,1.0484855019054345,0.33508553943335543,3,0,0,0,12
12,29,31,12,12,1.0315970349951238,0.34332595818649094,3,0,0,0,12
12,29,31,13,12,1.023681855373449,0.34944277646727915,3,0,0,0,12
12,29,31,14,12,1.0231463228190392,0.3534726315125299,3,0,0,0,12
12,29,31,15,12,1.0267662017534363,0.355768418861079,3,0,0,0,12
12,29,31,16,12,1.0317311282147095,0.356984748645401,3,0,0,0,12
12,29,31,17,12,1.0359001939288985,0.35793970220237295,3,0,0,0,12
12,29,31,18,12,1.0381687686864305,0.3594822193429958,3,0,0,0,12
12,29,31,19,12,1.0387289717837294,0.3623895484276886,3,0,0,0,12
12,29,31,20,12,1.0380549157093784,0.3675205261333289,3,0,0,0,12
12,29,31,21,12,1.0367999601303064,0.3754688812033105,3,0,0,0,12
12,29,31,22,12,1.0353821272662327,0.3866275728223387,3,0,0,0,12
12,29,31,23,12,1.0340617446694356,0.4011708137778276,3,0,0,0,12
12,29,31,24,12,1.0330499329299696,0.4189375534891638,3,0,0,0,12
12,29,31,25,12,1.0326205707452993,0.39194798695473926,3,0,0,0,12
18,7,11,1,6,1.417361111111111,0.30422111206938635,2,0,3,0,0
18,7,11,2,6,1.5504734065769827,0.3016265989885973,2,0,3,0,0
18,7,11,3,8,1.5179149668405207,0.29365696240713435,3,0,4,0,0
18,7,11,4,14,1.562447376582669,0.2527348338127282,3,0,8,0,0
18,7,11,5,18,1.3649887723069285,0.1981047058927738,3,0,9,0,5
18,7,11,6,18,1.287175167167582,0.20082394296662304,3,0,0,0,18
